year,zip_code,is_brand,volume_sold,sale_dollars
2012,50002,0,3623.55,52155.46
2012,50002,1,56.25,1987.2
2012,50003,0,22058.34,277361.9
2012,50003,1,52.5,1870.48
2012,50006,0,7556.45,93994.16
2012,50006,1,66.75,2384.4
2012,50009,0,151841.08,2030548.37
2012,50009,1,1024.9,35897.82
2012,50010,0,463230.33,6263507.85
2012,50010,1,2610.49,88324.47
2012,50014,0,63128.93,826786.22
2012,50014,1,403.02,13805.53
2012,50015,0,6975.52,90082.34
2012,50015,1,50.99,1737.18
2012,50020,0,5357.49,62298.47
2012,50020,1,12,391.92
2012,50021,0,209561.06,2775293.21
2012,50021,1,852.24,29980.84
2012,50022,0,81208.5,1051322.25
2012,50022,1,251.24,8763.81
2012,50023,0,52107.69,724254.32
2012,50023,1,430.27,14883.02
2012,50025,0,13120.74,139560.33
2012,50025,1,18,643.04
2012,50028,0,2635.75,30820.51
2012,50028,1,3.75,134.8
2012,50033,0,2889.15,41679.34
2012,50033,1,15.37,545.84
2012,50035,0,2566.81,37751.92
2012,50035,1,9.32,332.51
2012,50036,0,87087.99,1050305.29
2012,50036,1,224.65,7679.7
2012,50044,0,1742.7,17410.92
2012,50046,0,2109.93,27274.45
2012,50046,1,9,323.52
2012,50048,0,1537.56,22126.44
2012,50048,1,13.5,476.16
2012,50049,0,21924.22,267695.07
2012,50049,1,48,1713.44
2012,50054,0,9718.99,107726.07
2012,50054,1,20.25,723.36
2012,50056,0,2400.6,30758.22
2012,50058,0,2961.3,34144.56
2012,50058,1,18,587.88
2012,50060,0,11911.06,161000.91
2012,50060,1,21.39,735.25
2012,50069,0,5192.56,71926.27
2012,50069,1,34.5,1217.36
2012,50071,0,1690.5,18221.22
2012,50075,0,4150.37,49907.62
2012,50075,1,34.5,1234.08
2012,50076,0,1962.45,23373.66
2012,50107,0,1611.48,21298.91
2012,50111,0,73247.77,974251.43
2012,50111,1,276.94,9886.36
2012,50112,0,68902.95,910628.32
2012,50112,1,261.38,9167.38
2012,50115,0,7381.23,86513.41
2012,50122,0,4241.38,45012.51
2012,50124,0,2392.51,31241.89
2012,50125,0,111176.62,1435952.93
2012,50125,1,364.45,12651.61
2012,50126,0,62498.77,815298.91
2012,50126,1,256.85,8735.78
2012,50129,0,41696.43,466010.96
2012,50129,1,93.3,3200.96
2012,50130,0,1743.23,20849.1
2012,50131,0,91740.1,1275117.71
2012,50131,1,389.83,13983.69
2012,50136,0,2327.94,31160.64
2012,50136,1,3.75,130.24
2012,50138,0,55121.75,679389.4
2012,50138,1,198.79,6677.14
2012,50140,0,5277.02,72112.6
2012,50140,1,85.87,3069.52
2012,50142,0,4235.05,53215.6
2012,50142,1,22.51,801.2
2012,50144,0,6052.04,77481.14
2012,50150,0,273.66,4524.24
2012,50156,0,6327.12,71322.12
2012,50156,1,12,429.36
2012,50158,0,199217.83,2618301.53
2012,50158,1,858.31,29394.15
2012,50161,0,2173.05,27134.81
2012,50162,0,961.5,10503.18
2012,50163,0,9103.19,131244.15
2012,50163,1,47.12,1583.3
2012,50170,0,5116.86,60539.66
2012,50171,0,18132.6,239901.57
2012,50171,1,14,486.82
2012,50174,0,117.36,1451.88
2012,50201,0,33951.62,418987.38
2012,50201,1,96.85,3402.78
2012,50208,0,113047.6,1440467.8
2012,50208,1,340.3,11663.4
2012,50210,0,2533.77,34373.89
2012,50210,1,11.25,399.84
2012,50211,0,32334.22,388087.88
2012,50211,1,153.36,5476.92
2012,50212,0,7116.88,84734.63
2012,50212,1,21.5,736.7
2012,50213,0,39870.13,497148.5
2012,50213,1,189.75,6586.92
2012,50216,0,13594.32,170301.71
2012,50216,1,40.5,1455.84
2012,50219,0,58570.67,790676.61
2012,50219,1,305.9,10587.51
2012,50220,0,44955.12,539649.65
2012,50220,1,83.75,2933.38
2012,50225,0,4543.77,53566.45
2012,50225,1,10.93,381.32
2012,50226,0,5919.63,79949.79
2012,50228,0,1622.41,21341.29
2012,50244,0,3611.4,47800.63
2012,50244,1,4.5,161.76
2012,50247,0,4822.6,54356.66
2012,50247,1,6.75,242.64
2012,50248,0,18590.22,220349.65
2012,50248,1,119.24,4243.6
2012,50249,0,3533.69,41981.71
2012,50249,1,3.75,134.8
2012,50250,0,13948.26,172884.85
2012,50250,1,54.37,1928.08
2012,50251,0,1155.48,17298.59
2012,50261,0,1367.13,19471.45
2012,50263,0,27159.6,366643.01
2012,50263,1,147.37,5242.64
2012,50265,0,263281.77,3709280.31
2012,50265,1,1341.49,46470.32
2012,50266,0,376834.66,6126938.19
2012,50266,1,3866.56,125065.67
2012,50273,0,42275.05,520735.37
2012,50273,1,62.75,2171.5
2012,50276,0,2312.7,30006.79
2012,50300,0,60221.09,748127.14
2012,50300,1,95.25,3399.92
2012,50309,0,19310.17,210619.8
2012,50309,1,120.65,4117.84
2012,50310,0,146893.35,1873107.77
2012,50310,1,1084.68,38559.54
2012,50311,0,463484.65,6400700.36
2012,50311,1,2714.01,90082.84
2012,50312,0,31608.37,703246.56
2012,50312,1,336.49,11453.41
2012,50313,0,36073.64,461159.68
2012,50313,1,507.52,18496.38
2012,50314,0,528115.2,8658283.1
2012,50314,1,9064.1,301268.71
2012,50315,0,185960.07,2365371.39
2012,50315,1,1086.11,37855.82
2012,50316,0,77980,1168170.02
2012,50316,1,1133.5,39900.17
2012,50317,0,244545.98,3213458.21
2012,50317,1,1777.49,61742.51
2012,50320,0,565830.95,9094977.55
2012,50320,1,9323.03,306317.13
2012,50321,0,86233.21,1163667.32
2012,50321,1,463.57,16469.09
2012,50322,0,171041.41,2429162.74
2012,50322,1,1081.24,37488.89
2012,50323,0,2826.84,39163.13
2012,50323,1,16.87,604.32
2012,50324,0,3210.87,46105.33
2012,50324,1,43.8,1637.16
2012,50325,0,52786,703265.6
2012,50325,1,259.75,9261.42
2012,50401,0,304871.78,3676029.77
2012,50401,1,1272.11,43728.94
2012,50421,0,22559.27,269925.09
2012,50421,1,76.12,2592.12
2012,50423,0,10900.44,101821.83
2012,50424,0,4569.35,52386.13
2012,50424,1,21,748.88
